dataset_idx,dataset,run,ref_method,target_fnum,target_fratio,was_filled
1.0,Glass,1,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,4.0,0.4444444444444444,False
1.0,Glass,2,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,6.0,0.6666666666666666,False
1.0,Glass,3,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,4.0,0.4444444444444444,False
1.0,Glass,4,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,4.0,0.4444444444444444,False
1.0,Glass,5,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,5.0,0.5555555555555556,False
1.0,Glass,6,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,4.0,0.4444444444444444,False
1.0,Glass,7,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,4.0,0.4444444444444444,False
1.0,Glass,8,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,5.0,0.5555555555555556,False
1.0,Glass,9,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,4.0,0.4444444444444444,False
1.0,Glass,10,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,4.0,0.4444444444444444,False
1.0,Glass,11,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,4.0,0.4444444444444444,False
1.0,Glass,12,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,4.0,0.4444444444444444,False
1.0,Glass,13,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,4.0,0.4444444444444444,False
1.0,Glass,14,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,4.0,0.4444444444444444,False
1.0,Glass,15,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,5.0,0.5555555555555556,False
1.0,Glass,16,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,4.0,0.4444444444444444,False
1.0,Glass,17,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,5.0,0.5555555555555556,False
1.0,Glass,18,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,4.0,0.4444444444444444,False
1.0,Glass,19,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,5.0,0.5555555555555556,False
1.0,Glass,20,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,4.0,0.4444444444444444,False
1.0,Glass,21,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,4.0,0.4444444444444444,False
1.0,Glass,22,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,5.0,0.5555555555555556,False
1.0,Glass,23,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,4.0,0.4444444444444444,False
1.0,Glass,24,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,4.0,0.4444444444444444,False
1.0,Glass,25,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,5.0,0.5555555555555556,False
1.0,Glass,26,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,6.0,0.6666666666666666,False
1.0,Glass,27,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,4.0,0.4444444444444444,False
1.0,Glass,28,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,4.0,0.4444444444444444,False
1.0,Glass,29,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,6.0,0.6666666666666666,False
1.0,Glass,30,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,6.0,0.6666666666666666,False
1.0,Glass,31,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,5.0,0.5555555555555556,False
1.0,Glass,32,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,6.0,0.6666666666666666,False
1.0,Glass,33,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,5.0,0.5555555555555556,False
1.0,Glass,34,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,5.0,0.5555555555555556,False
1.0,Glass,35,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,4.0,0.4444444444444444,False
1.0,Glass,36,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,4.0,0.4444444444444444,False
1.0,Glass,37,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,5.0,0.5555555555555556,False
1.0,Glass,38,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,5.0,0.5555555555555556,False
1.0,Glass,39,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,6.0,0.6666666666666666,False
1.0,Glass,40,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,6.0,0.6666666666666666,False
2.0,Urban,1,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,19.0,0.1292517006802721,False
2.0,Urban,2,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,23.0,0.1564625850340136,False
2.0,Urban,3,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,35.0,0.238095238095238,False
2.0,Urban,4,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,20.0,0.1360544217687075,False
2.0,Urban,5,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,21.0,0.1428571428571428,False
2.0,Urban,6,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,23.0,0.1564625850340136,False
2.0,Urban,7,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,20.0,0.1360544217687075,False
2.0,Urban,8,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,22.0,0.1496598639455782,False
2.0,Urban,9,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,28.0,0.1904761904761904,False
2.0,Urban,10,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,22.0,0.1496598639455782,False
2.0,Urban,11,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,37.0,0.2517006802721088,False
2.0,Urban,12,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,29.0,0.1972789115646258,False
2.0,Urban,13,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,23.0,0.1564625850340136,False
2.0,Urban,14,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,29.0,0.1972789115646258,False
2.0,Urban,15,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,30.0,0.2040816326530612,False
2.0,Urban,16,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,27.0,0.1836734693877551,False
2.0,Urban,17,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,26.0,0.1768707482993197,False
2.0,Urban,18,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,24.0,0.1632653061224489,False
2.0,Urban,19,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,22.0,0.1496598639455782,False
2.0,Urban,20,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,25.0,0.1700680272108843,False
2.0,Urban,21,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,21.0,0.1428571428571428,False
2.0,Urban,22,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,20.0,0.1360544217687075,False
2.0,Urban,23,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,28.0,0.1904761904761904,False
2.0,Urban,24,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,26.0,0.1768707482993197,False
2.0,Urban,25,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,22.0,0.1496598639455782,False
2.0,Urban,26,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,23.0,0.1564625850340136,False
2.0,Urban,27,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,19.0,0.1292517006802721,False
2.0,Urban,28,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,27.0,0.1836734693877551,False
2.0,Urban,29,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,34.0,0.2312925170068027,False
2.0,Urban,30,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,25.0,0.1700680272108843,False
2.0,Urban,31,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,27.0,0.1836734693877551,False
2.0,Urban,32,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,19.0,0.1292517006802721,False
2.0,Urban,33,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,31.0,0.2108843537414966,False
2.0,Urban,34,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,27.0,0.1836734693877551,False
2.0,Urban,35,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,14.0,0.0952380952380952,False
2.0,Urban,36,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,36.0,0.2448979591836734,False
2.0,Urban,37,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,26.0,0.1768707482993197,False
2.0,Urban,38,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,20.0,0.1360544217687075,False
2.0,Urban,39,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,17.0,0.1156462585034013,False
2.0,Urban,40,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,20.0,0.1360544217687075,False
3.0,Musk1,1,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,14.0,0.0843373493975903,False
3.0,Musk1,2,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,24.0,0.144578313253012,False
3.0,Musk1,3,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,26.0,0.1566265060240964,False
3.0,Musk1,4,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,26.0,0.1566265060240964,False
3.0,Musk1,5,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,22.0,0.1325301204819277,False
3.0,Musk1,6,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,16.0,0.0963855421686747,False
3.0,Musk1,7,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,20.0,0.1204819277108433,False
3.0,Musk1,8,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,22.0,0.1325301204819277,False
3.0,Musk1,9,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,14.0,0.0843373493975903,False
3.0,Musk1,10,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,16.0,0.0963855421686747,False
3.0,Musk1,11,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,19.0,0.1144578313253012,False
3.0,Musk1,12,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,22.0,0.1325301204819277,False
3.0,Musk1,13,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,24.0,0.144578313253012,False
3.0,Musk1,14,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,24.0,0.144578313253012,False
3.0,Musk1,15,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,30.0,0.180722891566265,False
3.0,Musk1,16,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,20.0,0.1204819277108433,False
3.0,Musk1,17,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,22.0,0.1325301204819277,False
3.0,Musk1,18,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,13.0,0.0783132530120482,False
3.0,Musk1,19,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,28.0,0.1686746987951807,False
3.0,Musk1,20,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,13.0,0.0783132530120482,False
3.0,Musk1,21,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,20.0,0.1204819277108433,False
3.0,Musk1,22,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,16.0,0.0963855421686747,False
3.0,Musk1,23,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,23.0,0.1385542168674698,False
3.0,Musk1,24,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,26.0,0.1566265060240964,False
3.0,Musk1,25,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,26.0,0.1566265060240964,False
3.0,Musk1,26,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,18.0,0.108433734939759,False
3.0,Musk1,27,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,30.0,0.180722891566265,False
3.0,Musk1,28,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,23.0,0.1385542168674698,False
3.0,Musk1,29,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,26.0,0.1566265060240964,False
3.0,Musk1,30,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,16.0,0.0963855421686747,False
3.0,Musk1,31,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,18.0,0.108433734939759,False
3.0,Musk1,32,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,23.0,0.1385542168674698,False
3.0,Musk1,33,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,14.0,0.0843373493975903,False
3.0,Musk1,34,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,20.0,0.1204819277108433,False
3.0,Musk1,35,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,22.0,0.1325301204819277,False
3.0,Musk1,36,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,26.0,0.1566265060240964,False
3.0,Musk1,37,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,20.0,0.1204819277108433,False
3.0,Musk1,38,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,18.0,0.108433734939759,False
3.0,Musk1,39,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,19.0,0.1144578313253012,False
3.0,Musk1,40,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,26.0,0.1566265060240964,False
4.0,Usps,1,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,69.0,0.26953125,False
4.0,Usps,2,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,70.0,0.2734375,False
4.0,Usps,3,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,81.0,0.31640625,False
4.0,Usps,4,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,78.0,0.3046875,False
4.0,Usps,5,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,96.0,0.375,False
4.0,Usps,6,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,86.0,0.3359375,False
4.0,Usps,7,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,82.0,0.3203125,False
4.0,Usps,8,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,67.0,0.26171875,False
4.0,Usps,9,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,80.0,0.3125,False
4.0,Usps,10,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,70.0,0.2734375,False
4.0,Usps,11,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,77.0,0.30078125,False
4.0,Usps,12,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,74.0,0.2890625,False
4.0,Usps,13,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,83.0,0.32421875,False
4.0,Usps,14,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,62.0,0.2421875,False
4.0,Usps,15,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,63.0,0.24609375,False
4.0,Usps,16,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,87.0,0.33984375,False
4.0,Usps,17,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,64.0,0.25,False
4.0,Usps,18,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,80.0,0.3125,False
4.0,Usps,19,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,71.0,0.27734375,False
4.0,Usps,20,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,79.0,0.30859375,False
4.0,Usps,21,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,78.0,0.3046875,False
4.0,Usps,22,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,75.0,0.29296875,False
4.0,Usps,23,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,73.0,0.28515625,False
4.0,Usps,24,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,58.0,0.2265625,False
4.0,Usps,25,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,86.0,0.3359375,False
4.0,Usps,26,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,75.0,0.29296875,False
4.0,Usps,27,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,66.0,0.2578125,False
4.0,Usps,28,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,61.0,0.23828125,False
4.0,Usps,29,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,76.0,0.296875,False
4.0,Usps,30,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,66.0,0.2578125,False
4.0,Usps,31,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,83.0,0.32421875,False
4.0,Usps,32,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,76.0,0.296875,False
4.0,Usps,33,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,78.0,0.3046875,False
4.0,Usps,34,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,78.0,0.3046875,False
4.0,Usps,35,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,86.0,0.3359375,False
4.0,Usps,36,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,88.0,0.34375,False
4.0,Usps,37,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,78.0,0.3046875,False
4.0,Usps,38,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,75.0,0.29296875,False
4.0,Usps,39,GBFS_enhanced__init_probabilistic__ks_rc_greedy__post_buddy,66.0,0.2578125,False
